"","Spelling","wlen","FreqCount","LogFreq(Zipf)","CD","DomPoS","DomPoSLemma","Spell_check","Hyphen","Double_word_entry"
"11946","admiral",7,748,3.57,0.009,"name","admiral","UKUS",0,NA
"11947","donkeys",7,748,3.57,0.006,"noun","donkey","UKUS",0,NA
"11948","slavery",7,748,3.57,0.009,"noun","slavery","UKUS",0,NA
"11949","cheerio",7,746,3.569,0.013,"name","cheerio","UKUS",0,NA
"11950","lenders",7,746,3.569,0.009,"noun","lender","UKUS",0,NA
"11951","lesbian",7,746,3.569,0.009,"adjective","lesbian","UKUS",0,NA
"11952","lansley",7,746,3.569,0.007,"name","lansley","X",0,NA
"11953","drastic",7,745,3.568,0.015,"adjective","drastic","UKUS",0,NA
"11954","placing",7,745,3.568,0.016,"verb","place","UKUS",0,NA
"11955","teaches",7,745,3.568,0.015,"verb","teach","UKUS",0,NA
"11956","suburbs",7,744,3.568,0.013,"noun","suburb","UKUS",0,NA
"11957","carroll",7,744,3.568,0.007,"name","carroll","X",0,NA
"11958","altered",7,743,3.567,0.015,"verb","alter","UKUS",0,NA
"11959","dinners",7,741,3.566,0.013,"noun","dinner","UKUS",0,NA
"11960","educate",7,741,3.566,0.015,"verb","educate","UKUS",0,NA
"11961","trainee",7,739,3.565,0.012,"noun","trainee","UKUS",0,NA
"11962","orchard",7,737,3.564,0.009,"noun","orchard","UKUS",0,NA
"11963","tidying",7,736,3.563,0.012,"verb","tidy","UKUS",0,NA
"11964","thinner",7,735,3.563,0.013,"adjective","thinner","UKUS",0,NA
"11965","vaccine",7,735,3.563,0.005,"noun","vaccine","UKUS",0,NA
"11966","siobhan",7,734,3.562,0.004,"name","siobhan","X",0,NA
"11967","hussein",7,733,3.561,0.009,"name","hussein","X",0,NA
"11968","jacques",7,733,3.561,0.007,"name","jacques","X",0,NA
"11969","cutlery",7,730,3.56,0.01,"noun","cutlery","UKUS",0,NA
"11970","bridget",7,730,3.56,0.006,"name","bridget","X",0,NA
"11971","devised",7,729,3.559,0.015,"verb","devise","UKUS",0,NA
"11972","loading",7,728,3.558,0.013,"verb","load","UKUS",0,NA
"11973","scarlet",7,728,3.558,0.009,"name","scarlet","UKUS",0,NA
"11974","hungary",7,728,3.558,0.009,"name","hungary","X",0,NA
"11975","helpers",7,727,3.558,0.009,"noun","helper","UKUS",0,NA
"11976","dipping",7,725,3.557,0.013,"verb","dip","UKUS",0,NA
"11977","enforce",7,724,3.556,0.013,"verb","enforce","UKUS",0,NA
"11978","proudly",7,724,3.556,0.014,"adverb","proudly","UKUS",0,NA
"11979","preview",7,723,3.555,0.013,"noun","preview","UKUS",0,"pre view"
"11980","orphans",7,722,3.555,0.007,"noun","orphan","UKUS",0,NA
"11981","descent",7,721,3.554,0.012,"noun","descent","UKUS",0,NA
"11982","tighten",7,721,3.554,0.014,"verb","tighten","UKUS",0,NA
"11983","rebekah",7,721,3.554,0.005,"name","rebekah","X",0,NA
"11984","adamant",7,720,3.554,0.014,"adjective","adamant","UKUS",0,NA
"11985","hackney",7,720,3.554,0.008,"name","hackney","UKUS",0,NA
"11986","jeffrey",7,718,3.552,0.008,"name","jeffrey","X",0,NA
"11987","midweek",7,717,3.552,0.01,"adjective","midweek","UKUS",0,"mid week"
"11988","charmer",7,717,3.552,0.006,"name","charmer","UKUS",0,NA
"11989","crammed",7,716,3.551,0.015,"verb","cram","UKUS",0,NA
"11990","cruelty",7,715,3.551,0.012,"noun","cruelty","UKUS",0,NA
"11991","glowing",7,715,3.551,0.013,"adjective","glowing","UKUS",0,NA
"11992","brewing",7,714,3.55,0.013,"noun","brewing","UKUS",0,NA
"11993","rip-off",7,714,3.55,0.005,"adjective","rip-off","UK",1,"rip off"
"11994","camilla",7,713,3.549,0.006,"name","camilla","X",0,NA
"11995","fancies",7,712,3.549,0.014,"verb","fancy","UKUS",0,NA
"11996","bonfire",7,711,3.548,0.009,"noun","bonfire","UKUS",0,NA
"11997","risking",7,710,3.548,0.014,"verb","risk","UKUS",0,NA
"11998","finland",7,710,3.548,0.01,"name","finland","X",0,NA
"11999","advisor",7,708,3.546,0.011,"noun","advisor","UKUS",0,NA
"12000","bedding",7,708,3.546,0.011,"noun","bedding","UKUS",0,NA
"12001","sampson",7,708,3.546,0.003,"name","sampson","X",0,NA
"12002","slammer",7,707,3.546,0.002,"name","slammer","UKUS",0,NA
"12003","detroit",7,707,3.546,0.006,"name","detroit","X",0,NA
"12004","anatomy",7,706,3.545,0.011,"noun","anatomy","UKUS",0,NA
"12005","footing",7,706,3.545,0.014,"noun","footing","UKUS",0,NA
"12006","parlour",7,705,3.545,0.011,"noun","parlour","UK",0,NA
"12007","wrongly",7,705,3.545,0.014,"adverb","wrongly","UKUS",0,NA
"12008","pioneer",7,704,3.544,0.013,"noun","pioneer","UKUS",0,NA
"12009","drained",7,703,3.543,0.013,"verb","drain","UKUS",0,NA
"12010","mammoth",7,702,3.543,0.011,"adjective","mammoth","UKUS",0,NA
"12011","clashes",7,701,3.542,0.013,"noun","clash","UKUS",0,NA
"12012","regency",7,701,3.542,0.008,"name","regency","UKUS",0,NA
"12013","goddamn",7,700,3.541,0.007,"noun","goddamn","UKUS",0,"god damn"
"12014","fixture",7,700,3.541,0.013,"noun","fixture","UKUS",0,NA
"12015","jackets",7,698,3.54,0.013,"noun","jacket","UKUS",0,NA
"12016","mineral",7,698,3.54,0.011,"noun","mineral","UKUS",0,NA
"12017","centred",7,697,3.54,0.014,"verb","centre","UK",0,NA
"12018","chemist",7,697,3.54,0.011,"noun","chemist","UKUS",0,NA
"12019","swiftly",7,697,3.54,0.015,"adverb","swiftly","UKUS",0,NA
"12020","beswick",7,697,3.54,0.003,"name","beswick","X",0,NA
"12021","hospice",7,696,3.539,0.007,"noun","hospice","UKUS",0,NA
"12022","kidneys",7,694,3.538,0.008,"noun","kidney","UKUS",0,NA
"12023","caitlin",7,693,3.537,0.003,"name","caitlin","X",0,NA
"12024","coolest",7,692,3.536,0.013,"adjective","coolest","UKUS",0,NA
"12025","chronic",7,689,3.535,0.013,"adjective","chronic","UKUS",0,NA
"12026","refuses",7,689,3.535,0.014,"verb","refuse","UKUS",0,NA
"12027","claudia",7,689,3.535,0.006,"name","claudia","X",0,NA
"12028","charter",7,688,3.534,0.011,"noun","charter","UKUS",0,NA
"12029","drunken",7,688,3.534,0.012,"adjective","drunken","UKUS",0,NA
"12030","fertile",7,688,3.534,0.012,"adjective","fertile","UKUS",0,NA
"12031","transit",7,687,3.533,0.008,"noun","transit","UKUS",0,NA
"12032","foxtrot",7,686,3.533,0.006,"noun","foxtrot","UKUS",0,NA
"12033","goodies",7,686,3.533,0.012,"noun","goody","UKUS",0,NA
"12034","platoon",7,686,3.533,0.005,"noun","platoon","UKUS",0,NA
"12035","sponsor",7,686,3.533,0.011,"noun","sponsor","UKUS",0,NA
"12036","lowered",7,684,3.531,0.014,"verb","lower","UKUS",0,NA
"12037","condemn",7,682,3.53,0.012,"verb","condemn","UKUS",0,NA
"12038","cookies",7,681,3.53,0.007,"noun","cookie","UKUS",0,NA
"12039","jockeys",7,681,3.53,0.005,"noun","jockey","UKUS",0,NA
"12040","lalique",7,680,3.529,0.003,"name","lalique","X",0,NA
"12041","creator",7,679,3.528,0.013,"noun","creator","UKUS",0,NA
"12042","editors",7,679,3.528,0.009,"noun","editor","UKUS",0,NA
"12043","bellamy",7,677,3.527,0.006,"name","bellamy","X",0,NA
"12044","replica",7,676,3.526,0.012,"noun","replica","UKUS",0,NA
"12045","swollen",7,676,3.526,0.012,"adjective","swollen","UKUS",0,NA
"12046","dracula",7,675,3.526,0.006,"name","dracula","X",0,NA
"12047","streams",7,674,3.525,0.012,"noun","stream","UKUS",0,NA
"12048","lambert",7,674,3.525,0.007,"name","lambert","X",0,NA
"12049","snowman",7,673,3.524,0.006,"noun","snowman","UKUS",0,"snow man"
"12050","canteen",7,672,3.524,0.011,"noun","canteen","UKUS",0,NA
"12051","parades",7,672,3.524,0.006,"noun","parade","UKUS",0,NA
"12052","bending",7,671,3.523,0.013,"verb","bend","UKUS",0,NA
"12053","notices",7,671,3.523,0.012,"noun","notice","UKUS",0,NA
"12054","psychic",7,671,3.523,0.008,"adjective","psychic","UKUS",0,NA
"12055","fiancee",7,668,3.521,0.011,"noun","fiancee","UKUS",0,NA
"12056","shuffle",7,668,3.521,0.01,"noun","shuffle","UKUS",0,NA
"12057","bottoms",7,667,3.521,0.012,"noun","bottom","UKUS",0,NA
"12058","idyllic",7,667,3.521,0.013,"adjective","idyllic","UKUS",0,NA
"12059","morocco",7,666,3.52,0.009,"name","morocco","UKUS",0,NA
"12060","ostrich",7,666,3.52,0.007,"noun","ostrich","UKUS",0,NA
"12061","sweeney",7,666,3.52,0.007,"name","sweeney","X",0,NA
"12062","prophet",7,665,3.519,0.008,"noun","prophet","UKUS",0,NA
"12063","ethical",7,664,3.519,0.011,"adjective","ethical","UKUS",0,NA
"12064","stacked",7,664,3.519,0.013,"verb","stack","UKUS",0,NA
"12065","vitamin",7,664,3.519,0.009,"noun","vitamin","UKUS",0,NA
"12066","johnnie",7,664,3.519,0.003,"name","johnnie","X",0,NA
"12067","breaker",7,663,3.518,0.012,"noun","breaker","UKUS",0,NA
"12068","trebled",7,663,3.518,0.014,"verb","treble","UKUS",0,NA
"12069","dislike",7,662,3.517,0.013,"verb","dislike","UKUS",0,NA
"12070","forsyth",7,662,3.517,0.009,"name","forsyth","X",0,NA
"12071","exhibit",7,660,3.516,0.011,"noun","exhibit","UKUS",0,NA
"12072","milking",7,659,3.515,0.009,"verb","milk","UKUS",0,NA
"12073","relates",7,659,3.515,0.013,"verb","relate","UKUS",0,NA
"12074","setback",7,657,3.514,0.013,"noun","setback","UKUS",0,"set back"
"12075","cockney",7,657,3.514,0.009,"name","cockney","UKUS",0,NA
"12076","hostage",7,657,3.514,0.01,"noun","hostage","UKUS",0,NA
"12077","bedford",7,657,3.514,0.007,"name","bedford","X",0,NA
"12078","damages",7,656,3.513,0.012,"noun","damages","UKUS",0,NA
"12079","scallop",7,656,3.513,0.005,"noun","scallop","UKUS",0,NA
"12080","chipped",7,655,3.513,0.012,"verb","chip","UKUS",0,NA
"12081","fearful",7,655,3.513,0.013,"adjective","fearful","UKUS",0,NA
"12082","refined",7,655,3.513,0.013,"verb","refine","UKUS",0,NA
"12083","sweeper",7,655,3.513,0.004,"noun","sweeper","UKUS",0,NA
"12084","chutney",7,654,3.512,0.006,"noun","chutney","UKUS",0,NA
"12085","reunion",7,654,3.512,0.011,"noun","reunion","UKUS",0,NA
"12086","hollins",7,654,3.512,0.006,"name","hollins","X",0,NA
"12087","fossils",7,653,3.511,0.005,"noun","fossil","UKUS",0,NA
"12088","scaring",7,653,3.511,0.013,"verb","scare","UKUS",0,NA
"12089","secular",7,653,3.511,0.009,"adjective","secular","UKUS",0,NA
"12090","respite",7,651,3.51,0.01,"noun","respite","UKUS",0,NA
"12091","abraham",7,651,3.51,0.007,"name","abraham","X",0,NA
"12092","weaving",7,650,3.509,0.01,"verb","weave","UKUS",0,NA
"12093","croatia",7,650,3.509,0.005,"name","croatia","X",0,NA
"12094","frantic",7,649,3.509,0.013,"adjective","frantic","UKUS",0,NA
"12095","pianist",7,649,3.509,0.009,"noun","pianist","UKUS",0,NA
"12096","toddler",7,649,3.509,0.011,"noun","toddler","UKUS",0,NA
"12097","witches",7,649,3.509,0.008,"noun","witch","UKUS",0,NA
"12098","rachael",7,649,3.509,0.002,"name","rachael","X",0,NA
"12099","texting",7,647,3.507,0.011,"verb","text","UKUS",0,NA
"12100","britney",7,647,3.507,0.006,"name","britney","X",0,NA
"12101","knocker",7,646,3.507,0.002,"name","knocker","UKUS",0,NA
"12102","timothy",7,646,3.507,0.008,"name","timothy","UKUS",0,NA
"12103","geordie",7,646,3.507,0.007,"name","geordie","X",0,NA
"12104","presley",7,646,3.507,0.009,"name","presley","X",0,NA
"12105","afghans",7,645,3.506,0.006,"name","afghans","UKUS",0,NA
"12106","quantum",7,645,3.506,0.006,"noun","quantum","UKUS",0,NA
"12107","maxwell",7,645,3.506,0.006,"name","maxwell","X",0,NA
"12108","almonds",7,644,3.505,0.007,"noun","almond","UKUS",0,NA
"12109","dreaded",7,644,3.505,0.013,"adjective","dreaded","UKUS",0,NA
"12110","revised",7,644,3.505,0.012,"verb","revise","UKUS",0,NA
"12111","rotting",7,644,3.505,0.012,"verb","rot","UKUS",0,NA
"12112","reactor",7,643,3.505,0.005,"noun","reactor","UKUS",0,NA
"12113","donegal",7,643,3.505,0.005,"name","donegal","X",0,NA
"12114","hi-tech",7,643,3.505,0.012,"adjective","hi-tech","UK",1,"hi tech"
"12115","folding",7,641,3.503,0.012,"adjective","folding","UKUS",0,NA
"12116","mcilroy",7,640,3.503,0.005,"name","mcilroy","X",0,NA
"12117","accepts",7,639,3.502,0.013,"verb","accept","UKUS",0,NA
"12118","shipped",7,639,3.502,0.013,"verb","ship","UKUS",0,NA
"12119","volumes",7,639,3.502,0.012,"noun","volume","UKUS",0,NA
"12120","whiskey",7,639,3.502,0.007,"noun","whiskey","UKUS",0,NA
"12121","bailout",7,638,3.501,0.006,"noun","bailout","UKUS",0,"bail out"
"12122","chopper",7,637,3.501,0.007,"noun","chopper","UKUS",0,NA
"12123","guiding",7,637,3.501,0.012,"verb","guide","UKUS",0,NA
"12124","punches",7,634,3.499,0.011,"noun","punch","UKUS",0,NA
"12125","restart",7,634,3.499,0.01,"verb","restart","UKUS",0,NA
"12126","wellies",7,633,3.498,0.009,"noun","welly","X",0,NA
"12127","wycombe",7,633,3.498,0.007,"name","wycombe","X",0,NA
"12128","confuse",7,632,3.497,0.013,"verb","confuse","UKUS",0,NA
"12129","karaoke",7,631,3.496,0.009,"noun","karaoke","UKUS",0,NA
"12130","crashes",7,630,3.496,0.011,"noun","crash","UKUS",0,NA
"12131","sharply",7,630,3.496,0.013,"adverb","sharply","UKUS",0,NA
"12132","trinity",7,630,3.496,0.008,"name","trinity","UKUS",0,NA
"12133","baghdad",7,630,3.496,0.007,"name","baghdad","X",0,NA
"12134","install",7,629,3.495,0.012,"verb","install","UKUS",0,NA
"12135","interim",7,629,3.495,0.011,"adjective","interim","UKUS",0,NA
"12136","romania",7,629,3.495,0.008,"name","romania","X",0,NA
"12137","licking",7,628,3.494,0.011,"verb","lick","UKUS",0,NA
"12138","katrina",7,628,3.494,0.004,"name","katrina","X",0,NA
"12139","cheddar",7,627,3.494,0.008,"name","cheddar","UKUS",0,NA
"12140","hodgson",7,627,3.494,0.005,"name","hodgson","X",0,NA
"12141","intends",7,624,3.492,0.012,"verb","intend","UKUS",0,NA
"12142","kathryn",7,623,3.491,0.003,"name","kathryn","X",0,NA
"12143","pienaar",7,623,3.491,0.002,"name","pienaar","X",0,NA
"12144","upfront",7,622,3.49,0.01,"noun","upfront","UKUS",0,"up front"
"12145","insured",7,622,3.49,0.009,"verb","insure","UKUS",0,NA
"12146","darkest",7,621,3.49,0.012,"adjective","darkest","UKUS",0,NA
"12147","tornado",7,619,3.488,0.007,"noun","tornado","UKUS",0,NA
"12148","freeman",7,618,3.487,0.007,"name","freeman","UKUS",0,"free man"
"12149","shotgun",7,618,3.487,0.009,"noun","shotgun","UKUS",0,"shot gun"
"12150","praised",7,618,3.487,0.013,"verb","praise","UKUS",0,NA
"12151","baggage",7,616,3.486,0.01,"noun","baggage","UKUS",0,NA
"12152","fellows",7,616,3.486,0.011,"noun","fellow","UKUS",0,NA
"12153","lengthy",7,615,3.485,0.013,"adjective","lengthy","UKUS",0,NA
"12154","cadbury",7,615,3.485,0.004,"name","cadbury","X",0,NA
"12155","pancake",7,613,3.484,0.007,"noun","pancake","UKUS",0,NA
"12156","spoiled",7,613,3.484,0.012,"verb","spoil","UKUS",0,NA
"12157","imports",7,612,3.483,0.01,"noun","import","UKUS",0,NA
"12158","matilda",7,612,3.483,0.004,"name","matilda","X",0,NA
"12159","analyst",7,611,3.482,0.011,"noun","analyst","UKUS",0,NA
"12160","bouncer",7,611,3.482,0.006,"name","bouncer","UKUS",0,NA
"12161","unclear",7,611,3.482,0.013,"adjective","unclear","UKUS",0,NA
"12162","addicts",7,610,3.482,0.007,"noun","addict","UKUS",0,NA
"12163","baskets",7,610,3.482,0.009,"noun","basket","UKUS",0,NA
"12164","hatched",7,610,3.482,0.01,"verb","hatch","UKUS",0,NA
"12165","fireman",7,609,3.481,0.008,"noun","fireman","UKUS",0,"fire man"
"12166","garnish",7,609,3.481,0.008,"noun","garnish","UKUS",0,NA
"12167","horrors",7,609,3.481,0.012,"noun","horror","UKUS",0,NA
"12168","lantern",7,609,3.481,0.007,"noun","lantern","UKUS",0,NA
"12169","tongues",7,608,3.48,0.009,"noun","tongue","UKUS",0,NA
"12170","fleming",7,608,3.48,0.007,"name","fleming","X",0,NA
"12171","madison",7,608,3.48,0.005,"name","madison","X",0,NA
"12172","abusing",7,606,3.479,0.011,"verb","abuse","UKUS",0,NA
"12173","rostrum",7,606,3.479,0.01,"noun","rostrum","UKUS",0,NA
"12174","turbine",7,606,3.479,0.007,"noun","turbine","UKUS",0,NA
"12175","pillars",7,605,3.478,0.01,"noun","pillar","UKUS",0,NA
"12176","spreads",7,604,3.477,0.012,"verb","spread","UKUS",0,NA
"12177","curator",7,603,3.477,0.011,"noun","curator","UKUS",0,NA
"12178","dictate",7,603,3.477,0.012,"verb","dictate","UKUS",0,NA
"12179","standby",7,601,3.475,0.011,"noun","standby","UKUS",0,"stand by"
"12180","emerges",7,601,3.475,0.012,"verb","emerge","UKUS",0,NA
"12181","chelsee",7,601,3.475,0.002,"name","chelsee","X",0,NA
"12182","itching",7,600,3.475,0.011,"verb","itch","UKUS",0,NA
"12183","parsons",7,600,3.475,0.007,"name","parsons","UKUS",0,NA
"12184","rioting",7,600,3.475,0.008,"noun","rioting","UKUS",0,NA
"12185","vaguely",7,600,3.475,0.012,"adverb","vaguely","UKUS",0,NA
"12186","leaping",7,599,3.474,0.011,"verb","leap","UKUS",0,NA
"12187","mucking",7,599,3.474,0.011,"verb","muck","UKUS",0,NA
"12188","parcels",7,599,3.474,0.009,"noun","parcel","UKUS",0,NA
"12189","sighted",7,598,3.473,0.011,"verb","sight","UKUS",0,NA
"12190","smarter",7,597,3.472,0.012,"adverb","smarter","UKUS",0,NA
"12191","indulge",7,596,3.472,0.012,"verb","indulge","UKUS",0,NA
"12192","lebanon",7,596,3.472,0.008,"name","lebanon","X",0,NA
"12193","harmful",7,595,3.471,0.01,"adjective","harmful","UKUS",0,NA
"12194","breaths",7,594,3.47,0.01,"noun","breath","UKUS",0,NA
"12195","ghastly",7,594,3.47,0.011,"adjective","ghastly","UKUS",0,NA
"12196","grilled",7,594,3.47,0.009,"adjective","grilled","UKUS",0,NA
"12197","thermal",7,593,3.47,0.008,"adjective","thermal","UKUS",0,NA
"12198","acidity",7,592,3.469,0.008,"noun","acidity","UKUS",0,NA
"12199","chuckle",7,590,3.467,0.009,"name","chuckle","UKUS",0,NA
"12200","chugger",7,590,3.467,0.002,"noun","chugger","X",0,NA
"12201","amnesty",7,589,3.467,0.006,"noun","amnesty","UKUS",0,NA
"12202","flaming",7,587,3.465,0.01,"noun","flaming","UKUS",0,NA
"12203","walsall",7,587,3.465,0.007,"name","walsall","X",0,NA
"12204","brushes",7,586,3.464,0.01,"noun","brush","UKUS",0,NA
"12205","posture",7,586,3.464,0.008,"noun","posture","UKUS",0,NA
"12206","reduces",7,586,3.464,0.012,"verb","reduce","UKUS",0,NA
"12207","rescues",7,586,3.464,0.007,"verb","rescue","UKUS",0,NA
"12208","acquire",7,585,3.464,0.012,"verb","acquire","UKUS",0,NA
"12209","inspect",7,585,3.464,0.011,"verb","inspect","UKUS",0,NA
"12210","arizona",7,585,3.464,0.008,"name","arizona","X",0,NA
"12211","hiccups",7,584,3.463,0.005,"noun","hiccup","UKUS",0,NA
"12212","blazing",7,583,3.462,0.012,"verb","blaze","UKUS",0,NA
"12213","packets",7,583,3.462,0.01,"noun","packet","UKUS",0,NA
"12214","parting",7,583,3.462,0.011,"noun","parting","UKUS",0,NA
"12215","playful",7,583,3.462,0.011,"adjective","playful","UKUS",0,NA
"12216","battled",7,582,3.461,0.012,"verb","battle","UKUS",0,NA
"12217","bunting",7,582,3.461,0.006,"noun","bunting","UKUS",0,NA
"12218","loretta",7,582,3.461,0.002,"name","loretta","X",0,NA
"12219","newborn",7,581,3.461,0.01,"adjective","newborn","UKUS",0,"new born"
"12220","fresher",7,581,3.461,0.011,"noun","fresher","UKUS",0,NA
"12221","turtles",7,581,3.461,0.005,"noun","turtle","UKUS",0,NA
"12222","gerrard",7,581,3.461,0.006,"name","gerrard","X",0,NA
"12223","cheered",7,580,3.46,0.012,"verb","cheer","UKUS",0,NA
"12224","scanner",7,580,3.46,0.007,"noun","scanner","UKUS",0,NA
"12225","wind-up",7,580,3.46,0.006,"adjective","wind-up","UK",1,"wind up"
"12226","bottled",7,579,3.459,0.009,"adjective","bottled","UKUS",0,NA
"12227","inmates",7,579,3.459,0.007,"noun","inmate","UKUS",0,NA
"12228","salvage",7,579,3.459,0.01,"verb","salvage","UKUS",0,NA
"12229","glacier",7,578,3.458,0.004,"noun","glacier","UKUS",0,NA
"12230","helmets",7,578,3.458,0.009,"noun","helmet","UKUS",0,NA
"12231","solomon",7,578,3.458,0.006,"name","solomon","X",0,NA
"12232","bonding",7,577,3.458,0.01,"noun","bonding","UKUS",0,NA
"12233","pendant",7,577,3.458,0.006,"noun","pendant","UKUS",0,NA
"12234","gobstop",7,577,3.458,0.001,"name","gobstop","X",0,NA
"12235","beetles",7,576,3.457,0.007,"noun","beetle","UKUS",0,NA
"12236","relieve",7,576,3.457,0.012,"verb","relieve","UKUS",0,NA
"12237","buddies",7,575,3.456,0.009,"noun","buddy","UKUS",0,NA
"12238","cheaply",7,575,3.456,0.012,"adverb","cheaply","UKUS",0,NA
"12239","cassidy",7,575,3.456,0.006,"name","cassidy","X",0,NA
"12240","sincere",7,574,3.455,0.011,"adjective","sincere","UKUS",0,NA
"12241","brewery",7,573,3.455,0.007,"noun","brewery","UKUS",0,NA
"12242","marshal",7,573,3.455,0.007,"name","marshal","UKUS",0,NA
"12243","coleman",7,573,3.455,0.006,"name","coleman","X",0,NA
"12244","breadth",7,572,3.454,0.012,"noun","breadth","UKUS",0,NA
"12245","employs",7,572,3.454,0.012,"verb","employ","UKUS",0,NA
"12246","bashing",7,571,3.453,0.01,"verb","bash","UKUS",0,NA
"12247","batting",7,571,3.453,0.007,"noun","batting","UKUS",0,NA
"12248","rhyming",7,571,3.453,0.009,"verb","rhyme","UKUS",0,NA
"12249","ironing",7,570,3.452,0.009,"verb","iron","UKUS",0,NA
"12250","paprika",7,570,3.452,0.006,"noun","paprika","UKUS",0,NA
"12251","surveys",7,570,3.452,0.011,"noun","survey","UKUS",0,NA
"12252","carcass",7,569,3.452,0.008,"noun","carcass","UKUS",0,NA
"12253","pistols",7,569,3.452,0.007,"noun","pistol","UKUS",0,NA
"12254","abigail",7,569,3.452,0.004,"name","abigail","X",0,NA
"12255","cinemas",7,568,3.451,0.01,"noun","cinema","UKUS",0,NA
"12256","endured",7,568,3.451,0.012,"verb","endure","UKUS",0,NA
"12257","bedside",7,567,3.45,0.01,"noun","bedside","UKUS",0,"bed side"
"12258","budding",7,567,3.45,0.011,"verb","bud","UKUS",0,NA
"12259","consume",7,567,3.45,0.01,"verb","consume","UKUS",0,NA
"12260","orleans",7,567,3.45,0.007,"name","orleans","X",0,NA
"12261","birdies",7,566,3.449,0.004,"noun","birdie","UKUS",0,NA
"12262","counsel",7,566,3.449,0.009,"noun","counsel","UKUS",0,NA
"12263","garbage",7,566,3.449,0.008,"noun","garbage","UKUS",0,NA
"12264","peeling",7,566,3.449,0.01,"verb","peel","UKUS",0,NA
"12265","walk-in",7,566,3.449,0.008,"adjective","walk-in","UK",1,"walk in"
"12266","malaria",7,565,3.449,0.006,"noun","malaria","UKUS",0,NA
"12267","normans",7,565,3.449,0.004,"name","normans","X",0,NA
"12268","quentin",7,565,3.449,0.007,"name","quentin","X",0,NA
"12269","enquiry",7,564,3.448,0.009,"noun","enquiry","UKUS",0,NA
"12270","entries",7,564,3.448,0.009,"noun","entry","UKUS",0,NA
"12271","stirred",7,563,3.447,0.011,"verb","stir","UKUS",0,NA
"12272","cheetah",7,562,3.446,0.004,"noun","cheetah","UKUS",0,NA
"12273","maestro",7,562,3.446,0.008,"noun","maestro","UKUS",0,NA
"12274","plunged",7,562,3.446,0.011,"verb","plunge","UKUS",0,NA
"12275","bruised",7,561,3.445,0.011,"verb","bruise","UKUS",0,NA
"12276","dismiss",7,561,3.445,0.011,"verb","dismiss","UKUS",0,NA
"12277","meerkat",7,561,3.445,0.004,"noun","meerkat","UKUS",0,NA
"12278","barnett",7,561,3.445,0.006,"name","barnett","X",0,NA
"12279","drafted",7,560,3.445,0.011,"verb","draft","UKUS",0,NA
"12280","peaches",7,560,3.445,0.006,"noun","peach","UKUS",0,NA
"12281","calcium",7,559,3.444,0.007,"noun","calcium","UKUS",0,NA
"12282","moulded",7,558,3.443,0.01,"verb","mould","UK",0,NA
"12283","abdomen",7,557,3.442,0.008,"noun","abdomen","UKUS",0,NA
"12284","bookies",7,557,3.442,0.008,"noun","bookie","UKUS",0,NA
"12285","readily",7,557,3.442,0.012,"adverb","readily","UKUS",0,NA
"12286","sinatra",7,557,3.442,0.008,"name","sinatra","X",0,NA
"12287","applaud",7,556,3.442,0.011,"verb","applaud","UKUS",0,NA
"12288","banning",7,556,3.442,0.01,"verb","ban","UKUS",0,NA
"12289","secrecy",7,556,3.442,0.01,"noun","secrecy","UKUS",0,NA
"12290","stormed",7,556,3.442,0.011,"verb","storm","UKUS",0,NA
"12291","teasing",7,556,3.442,0.011,"verb","tease","UKUS",0,NA
"12292","runaway",7,555,3.441,0.009,"adjective","runaway","UKUS",0,"run away"
"12293","extends",7,555,3.441,0.012,"verb","extend","UKUS",0,NA
"12294","marbles",7,555,3.441,0.006,"noun","marble","UKUS",0,NA
"12295","terrier",7,555,3.441,0.008,"noun","terrier","UKUS",0,NA
"12296","wickets",7,555,3.441,0.006,"noun","wicket","UKUS",0,NA
"12297","carolyn",7,555,3.441,0.003,"name","carolyn","X",0,NA
"12298","two-bed",7,554,3.44,0.006,"adjective","two-bed","UK",1,"two bed"
"12299","cheeses",7,553,3.439,0.007,"noun","cheese","UKUS",0,NA
"12300","sticker",7,553,3.439,0.008,"noun","sticker","UKUS",0,NA
"12301","brushed",7,552,3.438,0.011,"verb","brush","UKUS",0,NA
"12302","pivotal",7,552,3.438,0.011,"adjective","pivotal","UKUS",0,NA
"12303","tristan",7,552,3.438,0.003,"name","tristan","X",0,NA
"12304","fairies",7,551,3.438,0.007,"noun","fairy","UKUS",0,NA
"12305","innings",7,551,3.438,0.007,"noun","inning","UKUS",0,NA
"12306","burrows",7,550,3.437,0.006,"noun","burrow","UKUS",0,NA
"12307","gallons",7,550,3.437,0.009,"noun","gallon","UKUS",0,NA
"12308","phantom",7,550,3.437,0.007,"name","phantom","UKUS",0,NA
"12309","puppets",7,550,3.437,0.006,"noun","puppet","UKUS",0,NA
"12310","gatwick",7,550,3.437,0.007,"name","gatwick","X",0,NA
"12311","merthyr",7,548,3.435,0.004,"name","merthyr","X",0,NA
"12312","staging",7,547,3.435,0.011,"verb","stage","UKUS",0,NA
"12313","branded",7,546,3.434,0.01,"verb","brand","UKUS",0,NA
"12314","cabaret",7,546,3.434,0.007,"noun","cabaret","UKUS",0,NA
"12315","resorts",7,546,3.434,0.009,"noun","resort","UKUS",0,NA
"12316","commend",7,545,3.433,0.01,"verb","commend","UKUS",0,NA
"12317","peasant",7,545,3.433,0.008,"noun","peasant","UKUS",0,NA
