"","Spelling","wlen","FreqCount","LogFreq(Zipf)","CD","DomPoS","DomPoSLemma","Spell_check","Hyphen","Double_word_entry"
"6500","ground",6,31189,5.19,0.337,"noun","ground","UKUS",0,NA
"6501","centre",6,30957,5.187,0.338,"noun","centre","UKUS",0,NA
"6502","either",6,30491,5.18,0.407,"adverb","either","UKUS",0,NA
"6503","during",6,30343,5.178,0.365,"preposition","during","UKUS",0,NA
"6504","worked",6,30089,5.174,0.375,"verb","work","UKUS",0,NA
"6505","anyway",6,29357,5.163,0.325,"adverb","anyway","UKUS",0,"any way"
"6506","single",6,28432,5.15,0.335,"adjective","single","UKUS",0,NA
"6507","turned",6,28415,5.149,0.371,"verb","turn","UKUS",0,NA
"6508","needed",6,28064,5.144,0.353,"verb","need","UKUS",0,NA
"6509","bought",6,27957,5.142,0.238,"verb","buy","UKUS",0,NA
"6510","health",6,27790,5.14,0.218,"noun","health","UKUS",0,NA
"6511","office",6,27400,5.134,0.268,"noun","office","UKUS",0,NA
"6512","moving",6,27093,5.129,0.343,"verb","move","UKUS",0,NA
"6513","others",6,26980,5.127,0.36,"noun","other","UKUS",0,NA
"6514","seeing",6,26852,5.125,0.355,"verb","see","UKUS",0,NA
"6515","giving",6,26597,5.121,0.361,"verb","give","UKUS",0,NA
"6516","george",6,26369,5.117,0.184,"name","george","X",0,NA
"6517","record",6,26257,5.115,0.263,"noun","record","UKUS",0,NA
"6518","indeed",6,25849,5.108,0.307,"adverb","indeed","UKUS",0,NA
"6519","sounds",6,25328,5.099,0.331,"verb","sound","UKUS",0,NA
"6520","season",6,25080,5.095,0.157,"noun","season","UKUS",0,NA
"6521","double",6,25078,5.095,0.257,"adjective","double","UKUS",0,NA
"6522","expect",6,25044,5.094,0.331,"verb","expect","UKUS",0,NA
"6523","action",6,24959,5.093,0.292,"noun","action","UKUS",0,NA
"6524","europe",6,24846,5.091,0.207,"name","europe","X",0,NA
"6525","report",6,24727,5.089,0.219,"noun","report","UKUS",0,NA
"6526","nearly",6,24653,5.088,0.348,"adverb","nearly","UKUS",0,NA
"6527","nobody",6,24499,5.085,0.313,"noun","nobody","UKUS",0,"no body"
"6528","became",6,23942,5.075,0.267,"verb","become","UKUS",0,NA
"6529","hoping",6,23861,5.073,0.297,"verb","hope","UKUS",0,NA
"6530","simple",6,23743,5.071,0.303,"adjective","simple","UKUS",0,NA
"6531","amount",6,23624,5.069,0.304,"noun","amount","UKUS",0,NA
"6532","places",6,23618,5.069,0.306,"noun","place","UKUS",0,NA
"6533","result",6,23390,5.065,0.279,"noun","result","UKUS",0,NA
"6534","finish",6,23034,5.058,0.242,"verb","finish","UKUS",0,NA
"6535","united",6,22979,5.057,0.198,"name","united","UKUS",0,NA
"6536","wonder",6,22975,5.057,0.33,"verb","wonder","UKUS",0,NA
"6537","longer",6,22938,5.056,0.322,"adverb","longer","UKUS",0,NA
"6538","colour",6,22651,5.051,0.224,"noun","colour","UK",0,NA
"6539","bottom",6,22553,5.049,0.276,"noun","bottom","UKUS",0,"bot tom"
"6540","forget",6,22114,5.04,0.304,"verb","forget","UKUS",0,NA
"6541","french",6,21877,5.036,0.18,"adjective","french","X",0,NA
"6542","famous",6,21704,5.032,0.252,"adjective","famous","UKUS",0,NA
"6543","ladies",6,21610,5.03,0.211,"noun","lady","UKUS",0,NA
"6544","choice",6,21372,5.026,0.276,"noun","choice","UKUS",0,NA
"6545","afraid",6,21363,5.025,0.26,"adjective","afraid","UKUS",0,NA
"6546","bigger",6,21321,5.025,0.283,"adjective","bigger","UKUS",0,NA
"6547","leader",6,21298,5.024,0.186,"noun","leader","UKUS",0,NA
"6548","doctor",6,21190,5.022,0.153,"noun","doctor","UKUS",0,NA
"6549","itself",6,21182,5.022,0.285,"pronoun","itself","UKUS",0,NA
"6550","modern",6,21083,5.02,0.22,"adjective","modern","UKUS",0,NA
"6551","church",6,21071,5.019,0.13,"noun","church","UKUS",0,NA
"6552","silver",6,20779,5.013,0.117,"noun","silver","UKUS",0,NA
"6553","energy",6,20667,5.011,0.172,"noun","energy","UKUS",0,NA
"6554","killed",6,20640,5.01,0.207,"verb","kill","UKUS",0,NA
"6555","no-one",6,20494,5.007,0.267,"noun","no-one","UK",1,"no one"
"6556","plenty",6,20399,5.005,0.269,"noun","plenty","UKUS",0,NA
"6557","summer",6,20209,5.001,0.228,"noun","summer","UKUS",0,NA
